CensusTract,State,County,Urban,Pop2010,OHU2010,GroupQuartersFlag,NUMGQTRS,PCTGQTRS,LILATracts_1And10,LILATracts_halfAnd10,LILATracts_1And20,LILATracts_Vehicle,HUNVFlag,LowIncomeTracts,PovertyRate,MedianFamilyIncome,LA1and10,LAhalfand10,LA1and20,LATracts_half,LATracts1,LATracts10,LATracts20,LATractsVehicle_20,LAPOP1_10,LAPOP05_10,LAPOP1_20,LALOWI1_10,LALOWI05_10,LALOWI1_20,lapophalf,lapophalfshare,lalowihalf,lalowihalfshare,lakidshalf,lakidshalfshare,laseniorshalf,laseniorshalfshare,lawhitehalf,lawhitehalfshare,lablackhalf,lablackhalfshare,laasianhalf,laasianhalfshare,lanhopihalf,lanhopihalfshare,laaianhalf,laaianhalfshare,laomultirhalf,laomultirhalfshare,lahisphalf,lahisphalfshare,lahunvhalf,lahunvhalfshare,lasnaphalf,lasnaphalfshare,lapop1,lapop1share,lalowi1,lalowi1share,lakids1,lakids1share,laseniors1,laseniors1share,lawhite1,lawhite1share,lablack1,lablack1share,laasian1,laasian1share,lanhopi1,lanhopi1share,laaian1,laaian1share,laomultir1,laomultir1share,lahisp1,lahisp1share,lahunv1,lahunv1share,lasnap1,lasnap1share,lapop10,lapop10share,lalowi10,lalowi10share,lakids10,lakids10share,laseniors10,laseniors10share,lawhite10,lawhite10share,lablack10,lablack10share,laasian10,laasian10share,lanhopi10,lanhopi10share,laaian10,laaian10share,laomultir10,laomultir10share,lahisp10,lahisp10share,lahunv10,lahunv10share,lasnap10,lasnap10share,lapop20,lapop20share,lalowi20,lalowi20share,lakids20,lakids20share,laseniors20,laseniors20share,lawhite20,lawhite20share,lablack20,lablack20share,laasian20,laasian20share,lanhopi20,lanhopi20share,laaian20,laaian20share,laomultir20,laomultir20share,lahisp20,lahisp20share,lahunv20,lahunv20share,lasnap20,lasnap20share,TractLOWI,TractKids,TractSeniors,TractWhite,TractBlack,TractAsian,TractNHOPI,TractAIAN,TractOMultir,TractHispanic,TractHUNV,TractSNAP
48001951100,Texas,Anderson,0,4388,1766,0,0.0,0.0,0,0,0,0,0,0,10.2,64508.0,1,1,0,0,0,1,0,0,3711.0,3711.0,,1000.0,1000.0,,4388.0,100.0,1250.0,28.49,996.0,22.7,821.0,18.71,3776.0,86.05,382.0,8.71,13.0,0.3,3.0,0.07,20.0,0.46,194.0,4.42,236.0,5.38,51.0,2.9,139.0,7.88,4388.0,100.0,1250.0,28.49,996.0,22.7,821.0,18.71,3776.0,86.05,382.0,8.71,13.0,0.3,3.0,0.07,20.0,0.46,194.0,4.42,236.0,5.38,51.0,2.9,139.0,7.88,3711.0,84.56,1000.0,22.78,875.0,19.95,658.0,15.01,3209.0,73.13,319.0,7.26,12.0,0.27,3.0,0.07,15.0,0.34,153.0,3.49,187.0,4.27,45.0,2.53,116.0,6.59,,,,,,,,,,,,,,,,,,,,,,,,,,,1151.0,996.0,821.0,3776.0,382.0,13.0,3.0,20.0,194.0,236.0,42.0,122.0
48003950100,Texas,Andrews,0,1678,620,0,0.0,0.0,0,0,0,0,0,0,10.9,119821.0,0,0,0,0,0,0,0,0,82.0,82.0,0.0,21.0,21.0,0.0,1675.0,99.8,420.0,25.02,423.0,25.21,200.0,11.91,1504.0,89.63,6.0,0.36,26.0,1.55,0.0,0.0,6.0,0.36,133.0,7.92,482.0,28.7,5.0,0.82,8.0,1.23,1004.0,59.82,252.0,14.99,245.0,14.61,123.0,7.36,898.0,53.51,3.0,0.19,7.0,0.39,0.0,0.0,3.0,0.17,93.0,5.56,320.0,19.04,3.0,0.5,5.0,0.75,82.0,4.91,21.0,1.23,20.0,1.2,8.0,0.46,78.0,4.62,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,5.0,0.27,19.0,1.14,0.0,0.04,0.0,0.06,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,565.0,424.0,200.0,1507.0,6.0,26.0,0.0,6.0,133.0,483.0,6.0,9.0
48003950200,Texas,Andrews,1,6473,2365,0,79.0,1.22,0,0,0,0,1,0,14.4,89355.0,1,1,1,1,1,0,0,1,1159.0,4130.0,1159.0,173.0,730.0,173.0,4130.0,63.81,730.0,11.28,1187.0,18.34,513.0,7.92,3418.0,52.8,51.0,0.78,24.0,0.37,0.0,0.0,44.0,0.68,594.0,9.17,1697.0,26.21,103.0,4.37,112.0,4.75,1159.0,17.9,173.0,2.68,339.0,5.23,118.0,1.82,957.0,14.79,19.0,0.3,7.0,0.11,0.0,0.0,10.0,0.15,165.0,2.55,400.0,6.18,44.0,1.87,32.0,1.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1429.0,1895.0,788.0,5163.0,123.0,42.0,1.0,62.0,1082.0,2948.0,118.0,178.0
48003950300,Texas,Andrews,1,3924,1370,0,3.0,0.08,0,0,0,0,0,0,10.0,72612.0,1,1,1,1,1,0,0,0,2686.0,3924.0,2686.0,1010.0,1354.0,1010.0,3924.0,100.0,1354.0,34.5,1204.0,30.68,399.0,10.17,2963.0,75.51,80.0,2.04,14.0,0.36,0.0,0.0,39.0,0.99,828.0,21.1,2445.0,62.31,13.0,0.97,115.0,8.39,2686.0,68.45,1010.0,25.74,820.0,20.89,266.0,6.77,2030.0,51.74,58.0,1.48,8.0,0.2,0.0,0.0,22.0,0.55,568.0,14.47,1626.0,41.45,10.0,0.76,79.0,5.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1742.0,1204.0,399.0,2963.0,80.0,14.0,0.0,39.0,828.0,2445.0,15.0,123.0
48003950400,Texas,Andrews,0,2711,904,0,0.0,0.0,0,0,0,0,0,0,1.5,71528.0,0,0,0,0,0,0,0,0,36.0,36.0,5.0,9.0,9.0,1.0,2711.0,100.0,669.0,24.67,789.0,29.1,276.0,10.18,2116.0,78.05,13.0,0.48,9.0,0.33,0.0,0.0,35.0,1.29,538.0,19.85,1319.0,48.65,30.0,3.34,85.0,9.36,2711.0,100.0,669.0,24.67,789.0,29.1,276.0,10.18,2116.0,78.05,13.0,0.48,9.0,0.33,0.0,0.0,35.0,1.29,538.0,19.85,1319.0,48.65,30.0,3.34,85.0,9.36,36.0,1.31,9.0,0.32,13.0,0.5,1.0,0.03,32.0,1.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.15,10.0,0.37,0.0,0.04,1.0,0.12,5.0,0.18,1.0,0.05,2.0,0.07,0.0,0.0,5.0,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.18,0.0,0.0,0.0,0.01,786.0,789.0,276.0,2116.0,13.0,9.0,0.0,35.0,538.0,1319.0,30.0,84.0
48005000101,Texas,Angelina,0,6311,2161,0,410.0,6.5,0,0,0,0,1,0,16.4,65313.0,1,1,0,0,0,1,0,1,1429.0,1429.0,,527.0,527.0,,6311.0,100.0,2604.0,41.26,1562.0,24.75,788.0,12.49,5529.0,87.61,244.0,3.87,17.0,0.27,0.0,0.0,25.0,0.4,496.0,7.86,724.0,11.47,132.0,6.09,162.0,7.48,6311.0,100.0,2604.0,41.26,1562.0,24.75,788.0,12.49,5529.0,87.61,244.0,3.87,17.0,0.27,0.0,0.0,25.0,0.4,496.0,7.86,724.0,11.47,132.0,6.09,162.0,7.48,1429.0,22.64,527.0,8.35,330.0,5.22,219.0,3.48,1313.0,20.8,42.0,0.67,2.0,0.04,0.0,0.0,11.0,0.17,60.0,0.95,77.0,1.22,20.0,0.94,41.0,1.91,,,,,,,,,,,,,,,,,,,,,,,,,,,2613.0,1562.0,788.0,5529.0,244.0,17.0,0.0,25.0,496.0,724.0,118.0,156.0
48005000102,Texas,Angelina,1,4447,1507,0,0.0,0.0,0,0,0,0,0,0,8.6,71919.0,1,1,1,1,1,0,0,0,4447.0,4447.0,4447.0,1393.0,1393.0,1393.0,4447.0,100.0,1393.0,31.32,1373.0,30.87,431.0,9.69,3910.0,87.92,137.0,3.08,53.0,1.19,0.0,0.0,22.0,0.49,325.0,7.31,516.0,11.6,61.0,4.02,154.0,10.19,4447.0,100.0,1393.0,31.32,1373.0,30.87,431.0,9.69,3910.0,87.92,137.0,3.08,53.0,1.19,0.0,0.0,22.0,0.49,325.0,7.31,516.0,11.6,61.0,4.02,154.0,10.19,45.0,1.01,12.0,0.27,6.0,0.14,8.0,0.18,43.0,0.96,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.02,1.0,0.02,0.0,0.0,1.0,0.06,2.0,0.14,,,,,,,,,,,,,,,,,,,,,,,,,,,1504.0,1373.0,431.0,3910.0,137.0,53.0,0.0,22.0,325.0,516.0,63.0,160.0
48005000200,Texas,Angelina,0,6580,2428,0,12.0,0.18,0,0,0,0,0,1,17.6,46602.0,0,0,0,0,0,0,0,0,,,,,,,6413.0,97.47,3309.0,50.29,1699.0,25.81,834.0,12.68,4955.0,75.3,505.0,7.67,40.0,0.61,4.0,0.06,44.0,0.67,866.0,13.16,1292.0,19.64,70.0,2.87,596.0,24.53,6377.0,96.91,3289.0,49.98,1687.0,25.64,831.0,12.63,4926.0,74.86,505.0,7.67,39.0,0.6,4.0,0.06,44.0,0.67,859.0,13.05,1285.0,19.53,69.0,2.86,592.0,24.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3457.0,1748.0,851.0,5099.0,513.0,44.0,4.0,44.0,876.0,1300.0,64.0,597.0
48005000301,Texas,Angelina,0,5326,1895,0,115.0,2.16,0,0,0,0,0,0,16.0,58901.0,0,0,0,0,0,0,0,0,,,,,,,5326.0,100.0,1588.0,29.81,1432.0,26.89,806.0,15.13,4210.0,79.05,606.0,11.38,15.0,0.28,0.0,0.0,46.0,0.86,449.0,8.43,738.0,13.86,39.0,2.03,393.0,20.72,5034.0,94.51,1505.0,28.26,1374.0,25.79,661.0,12.41,3981.0,74.75,585.0,10.99,14.0,0.26,0.0,0.0,39.0,0.74,414.0,7.78,681.0,12.78,36.0,1.91,376.0,19.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1618.0,1432.0,806.0,4210.0,606.0,15.0,0.0,46.0,449.0,738.0,42.0,422.0
48005000302,Texas,Angelina,0,4613,1617,0,0.0,0.0,0,0,0,0,0,0,16.0,70061.0,0,0,0,0,0,0,0,0,,,,,,,4613.0,100.0,1912.0,41.46,1340.0,29.05,541.0,11.73,3755.0,81.4,209.0,4.53,54.0,1.17,2.0,0.04,29.0,0.63,564.0,12.23,965.0,20.92,94.0,5.82,334.0,20.67,4425.0,95.93,1796.0,38.93,1277.0,27.69,527.0,11.42,3640.0,78.9,196.0,4.26,54.0,1.17,2.0,0.04,29.0,0.63,504.0,10.93,868.0,18.82,87.0,5.38,321.0,19.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2139.0,1340.0,541.0,3755.0,209.0,54.0,2.0,29.0,564.0,965.0,117.0,415.0
48005000400,Texas,Angelina,1,5479,2002,0,260.0,4.75,1,1,1,1,1,1,25.3,55399.0,1,1,1,1,1,0,0,1,1489.0,4660.0,1489.0,686.0,2266.0,686.0,4660.0,85.05,2266.0,41.36,1282.0,23.39,665.0,12.15,2434.0,44.43,1223.0,22.32,63.0,1.16,0.0,0.0,31.0,0.56,909.0,16.58,1339.0,24.43,213.0,10.63,317.0,15.82,1489.0,27.17,686.0,12.52,418.0,7.62,231.0,4.22,812.0,14.82,312.0,5.69,5.0,0.1,0.0,0.0,5.0,0.1,354.0,6.46,518.0,9.46,49.0,2.43,100.0,5.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2224.0,1476.0,822.0,2970.0,1407.0,78.0,0.0,32.0,992.0,1452.0,210.0,329.0
48005000500,Texas,Angelina,1,4006,1557,0,11.0,0.27,1,1,1,1,1,1,37.4,31150.0,1,1,1,1,1,0,0,1,1632.0,3334.0,1632.0,940.0,2071.0,940.0,3334.0,83.24,2071.0,51.69,918.0,22.91,503.0,12.55,652.0,16.27,2180.0,54.42,14.0,0.35,0.0,0.0,9.0,0.22,480.0,11.98,655.0,16.34,223.0,14.34,446.0,28.64,1632.0,40.75,940.0,23.47,517.0,12.9,199.0,4.97,468.0,11.69,871.0,21.73,9.0,0.22,0.0,0.0,0.0,0.01,284.0,7.09,365.0,9.12,108.0,6.92,216.0,13.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2476.0,1106.0,599.0,716.0,2650.0,19.0,0.0,11.0,610.0,816.0,239.0,487.0
48005000600,Texas,Angelina,1,6416,1844,0,466.0,7.26,1,1,1,0,0,1,19.6,39176.0,1,1,1,1,1,0,0,0,2301.0,4419.0,2301.0,1249.0,2345.0,1249.0,4419.0,68.87,2345.0,36.56,1272.0,19.82,513.0,8.0,2163.0,33.71,1330.0,20.73,36.0,0.56,0.0,0.0,31.0,0.49,858.0,13.37,1563.0,24.36,24.0,1.31,402.0,21.82,2301.0,35.87,1249.0,19.47,677.0,10.55,269.0,4.19,1204.0,18.77,505.0,7.87,12.0,0.19,0.0,0.0,15.0,0.23,565.0,8.81,937.0,14.6,6.0,0.33,203.0,11.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3524.0,1983.0,670.0,3002.0,1900.0,46.0,0.0,35.0,1433.0,2775.0,48.0,587.0
48005000700,Texas,Angelina,1,3292,1048,0,59.0,1.79,0,1,0,0,0,1,36.0,42426.0,0,1,0,1,0,0,0,0,252.0,1713.0,252.0,188.0,1210.0,188.0,1713.0,52.03,1210.0,36.75,543.0,16.5,124.0,3.75,903.0,27.42,440.0,13.37,12.0,0.36,0.0,0.0,10.0,0.31,348.0,10.56,751.0,22.82,54.0,5.13,252.0,24.06,252.0,7.66,188.0,5.72,90.0,2.73,28.0,0.85,156.0,4.75,53.0,1.6,1.0,0.04,0.0,0.0,1.0,0.03,41.0,1.24,76.0,2.29,12.0,1.13,39.0,3.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2897.0,1059.0,280.0,1633.0,845.0,16.0,0.0,20.0,778.0,1669.0,97.0,551.0
48005000800,Texas,Angelina,1,6299,2395,0,40.0,0.64,0,0,0,0,0,0,9.3,65569.0,1,1,1,1,1,0,0,0,2197.0,4576.0,2197.0,590.0,1354.0,590.0,4576.0,72.64,1354.0,21.5,1248.0,19.82,721.0,11.44,3115.0,49.46,983.0,15.61,51.0,0.81,1.0,0.02,21.0,0.34,404.0,6.42,653.0,10.36,60.0,2.48,248.0,10.37,2197.0,34.88,590.0,9.37,608.0,9.65,343.0,5.45,1516.0,24.07,474.0,7.53,26.0,0.42,1.0,0.02,13.0,0.2,167.0,2.65,276.0,4.37,23.0,0.96,118.0,4.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1733.0,1718.0,976.0,4167.0,1361.0,82.0,1.0,38.0,650.0,1052.0,71.0,326.0
48005000901,Texas,Angelina,1,6342,2576,0,108.0,1.7,0,0,0,0,1,0,14.4,84500.0,1,1,1,1,1,0,0,1,4062.0,6248.0,4062.0,1336.0,2166.0,1336.0,6248.0,98.52,2166.0,34.15,1541.0,24.29,1165.0,18.36,4547.0,71.69,1059.0,16.7,153.0,2.41,3.0,0.05,17.0,0.26,469.0,7.4,755.0,11.91,136.0,5.28,189.0,7.32,4062.0,64.05,1336.0,21.07,1010.0,15.92,665.0,10.49,3052.0,48.12,605.0,9.54,121.0,1.9,3.0,0.05,7.0,0.11,274.0,4.32,473.0,7.46,85.0,3.32,121.0,4.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2280.0,1558.0,1199.0,4624.0,1074.0,154.0,3.0,17.0,470.0,760.0,148.0,186.0
